IPaddress,Day,Hour,Minute,Second,Info,Reply,Bytes
wpbfl2-45.gate.net,29,23,57,53,"GET/cgi-bin/waisgate?port=210&ip_address=earth1.epa.gov&database_name=/indexes/ACCESS&headline=Safe%20Drinking%20Water%20Hotline&type=HTML&docid=%01%0aearth1%3a210%02%0f%2findexes%2fACCESS%03%3b0%20%2d2262%20%2fusr1%2fearth1%2fjstaffor%2faccessepa%2fchapter3%2fs3%2d18%2ehtml%04%0aearth1%3a210%05%0f%2findexes%2fACCESS%06%3b0%20%2d2262%20%2fusr1%2fearth1%2fjstaffor%2faccessepa%2fchapter3%2fs3%2d18%2ehtml%07%01%00&seed_words_used=drinking+water&byte_count=2262HTTP/1.0",200,2431
wpbfl2-45.gate.net,29,23,57,55,"GET/icons/epaseal.gifHTTP/1.0",200,2624
ix-knx-tn1-22.ix.netcom.com,29,23,57,57,"GET/logos/small_gopher.gifHTTP/1.0",200,935
ix-knx-tn1-22.ix.netcom.com,29,23,58,0,"GET/logos/small_ftp.gifHTTP/1.0",200,124
ix-knx-tn1-22.ix.netcom.com,29,23,58,1,"GET/icons/book.gifHTTP/1.0",200,156
ix-knx-tn1-22.ix.netcom.com,29,23,58,5,"GET/logos/us-flag.gifHTTP/1.0",200,2788
140.112.68.165,29,23,58,5,"GET/docs/WhatsHot.htmlHTTP/1.0",200,1588
ix-knx-tn1-22.ix.netcom.com,29,23,58,8,"GET/icons/ok2-0.gifHTTP/1.0",200,231
131.215.67.47,29,23,58,19,"GET/docs/oppe/spatial.htmlHTTP/1.0",200,17756
131.215.67.47,29,23,58,19,"GET/docs/oppe/large_epa.gifHTTP/1.0",200,647
131.215.67.47,29,23,58,19,"GET/docs/oppe/circle_logo_small.gifHTTP/1.0",200,1329
140.112.68.165,29,23,58,19,"GET/icons/large_epa.gifHTTP/1.0",200,647
131.215.67.47,29,23,58,19,"GET/docs/oppe/oppe.gifHTTP/1.0",200,10752
131.215.67.47,29,23,58,23,"GET/docs/oppe/new.gifHTTP/1.0",200,132
131.215.67.47,29,23,58,25,"GET/docs/oppe/line.gifHTTP/1.0",200,2372
wpbfl2-45.gate.net,29,23,58,25,"GET/Access/chapter3/chapter3.htmlHTTP/1.0",200,5084
hmu4.cs.auckland.ac.nz,29,23,58,27,"GET/docs/GCDOAR/gifs/estarb.gifHTTP/1.0",200,5651
dd15-032.compuserve.com,29,23,58,31,"GET/Access/chapter1/s3-29.htmlHTTP/1.0",200,3407
ix-knx-tn1-22.ix.netcom.com,29,23,58,32,"GET/docs/Government.htmlHTTP/1.0",200,2703
ttyrf.tyrell.net,29,23,58,37,"GET/docs/SWRRB_WINDOWS/swrrbdoc.zipHTTP/1.0",200,72708
hmu4.cs.auckland.ac.nz,29,23,58,59,"GET/docs/GCDOAR/gifs/es_bg2.gifHTTP/1.0",200,9444
131.170.154.29,29,23,59,31,"GET/HTTP/1.0",200,4889
131.170.154.29,29,23,59,33,"GET/icons/circle_logo_small.gifHTTP/1.0",200,2624
dd15-032.compuserve.com,29,23,59,45,"GET/HTTP/1.0",200,4889
port11.annex1.naples.net,30,0,0,0,"GET/HTTP/1.0",200,4889
port11.annex1.naples.net,30,0,0,2,"GET/icons/circle_logo_small.gifHTTP/1.0",200,2624
port11.annex1.naples.net,30,0,0,3,"GET/logos/small_ftp.gifHTTP/1.0",200,124
port11.annex1.naples.net,30,0,0,3,"GET/logos/small_gopher.gifHTTP/1.0",200,935
port11.annex1.naples.net,30,0,0,3,"GET/icons/book.gifHTTP/1.0",200,156
131.170.154.29,30,0,0,5,"GET/icons/book.gifHTTP/1.0",200,156
suburbia.apana.org.au,30,0,0,5,"GET/docs/PressReleases/1995/August/Day-22/pr-421.htmlHTTP/1.0",200,2333
port11.annex1.naples.net,30,0,0,5,"GET/logos/us-flag.gifHTTP/1.0",200,2788
131.170.154.29,30,0,0,5,"GET/logos/small_gopher.gifHTTP/1.0",200,935
131.170.154.29,30,0,0,6,"GET/logos/small_ftp.gifHTTP/1.0",200,124
port11.annex1.naples.net,30,0,0,6,"GET/icons/ok2-0.gifHTTP/1.0",200,231
131.170.154.29,30,0,0,9,"GET/logos/us-flag.gifHTTP/1.0",200,2788
131.170.154.29,30,0,0,17,"GET/icons/ok2-0.gifHTTP/1.0",200,231
131.170.154.29,30,0,0,31,"GET/information.htmlHTTP/1.0",200,617
131.170.154.29,30,0,0,33,"GET/icons/people.gifHTTP/1.0",200,224
www-c1.proxy.aol.com,30,0,0,57,"GET/HTTP/1.0",200,4889
www-c1.proxy.aol.com,30,0,1,12,"GET/icons/circle_logo_small.gifHTTP/1.0",304,0
www-c1.proxy.aol.com,30,0,1,13,"GET/icons/book.gifHTTP/1.0",304,0
www-c1.proxy.aol.com,30,0,1,13,"GET/logos/small_gopher.gifHTTP/1.0",304,0
www-c1.proxy.aol.com,30,0,1,13,"GET/logos/small_ftp.gifHTTP/1.0",304,0
www-c1.proxy.aol.com,30,0,1,21,"GET/logos/us-flag.gifHTTP/1.0",304,0
www-c1.proxy.aol.com,30,0,1,24,"GET/icons/ok2-0.gifHTTP/1.0",304,0
hmu4.cs.auckland.ac.nz,30,0,1,35,"GET/HTTP/1.0",200,4889
www-c1.proxy.aol.com,30,0,1,40,"GET/docs/browner/adminbio.htmlHTTP/1.0",200,4217
port11.annex1.naples.net,30,0,1,44,"POST/cgi-bin/waisgate/134.67.99.11=earth1=210=/usr1/comwais/indexes/HTDOCS=gopher%40earth1=0.00=freeHTTP/1.0",200,2393
port11.annex1.naples.net,30,0,1,46,"GET/waisicons/eye2.xbmHTTP/1.0",200,500
port11.annex1.naples.net,30,0,1,46,"GET/waisicons/text.xbmHTTP/1.0",200,527
www-c1.proxy.aol.com,30,0,2,4,"GET/docs/browner/cbpress.gifHTTP/1.0",200,51661
grenada.assist.mil,30,0,2,4,"GET/HTTP/1.0",200,4889
grenada.assist.mil,30,0,2,6,"GET/icons/circle_logo_small.gifHTTP/1.0",200,2624
grenada.assist.mil,30,0,2,6,"GET/logos/small_gopher.gifHTTP/1.0",200,935
grenada.assist.mil,30,0,2,6,"GET/logos/small_ftp.gifHTTP/1.0",200,124
grenada.assist.mil,30,0,2,7,"GET/icons/book.gifHTTP/1.0",200,156
grenada.assist.mil,30,0,2,7,"GET/logos/us-flag.gifHTTP/1.0",200,2788
grenada.assist.mil,30,0,2,8,"GET/icons/ok2-0.gifHTTP/1.0",200,231
grenada.assist.mil,30,0,2,16,"GET/docs/WhatsHot.htmlHTTP/1.0",200,1588
port11.annex1.naples.net,30,0,2,17,"GET/cgi-bin/waisgate?port=210&ip_address=earth1&database_name=/usr1/comwais/indexes/HTDOCS&headline=Information%20on%20database%3a%20HTDOCS&type=WSRC&docid=%02%1c%2fusr1%2fcomwais%2findexes%2fHTDOCS%03%2b0%200%20%2fusr1%2fcomwais%2findexes%2fHTDOCS%2fHTDOCS%2esrc%07%01%00&seed_words_used=&byte_count=360HTTP/1.0",200,949
suburbia.apana.org.au,30,0,2,18,"GET/docs/PressReleases/1995/August/Day-22/pr-420.htmlHTTP/1.0",200,1973
grenada.assist.mil,30,0,2,18,"GET/icons/large_epa.gifHTTP/1.0",200,647
grenada.assist.mil,30,0,2,33,"GET/docs/ContactsHTTP/1.0",302,0
grenada.assist.mil,30,0,2,34,"GET/Contacts/HTTP/1.0",200,942
grenada.assist.mil,30,0,2,35,"GET/icons/large_epa.gifHTTP/1.0",200,647
port11.annex1.naples.net,30,0,2,55,"POST/cgi-bin/waisgate/134.67.99.11=earth1=210=/usr1/comwais/indexes/HTDOCS=gopher%40earth1=0.00=freeHTTP/1.0",200,2393
port11.annex1.naples.net,30,0,2,56,"GET/waisicons/eye2.xbmHTTP/1.0",200,500
port11.annex1.naples.net,30,0,2,56,"GET/waisicons/text.xbmHTTP/1.0",200,527
www-c1.proxy.aol.com,30,0,3,5,"GET/docs/AccessHTTP/1.0",302,0
www-c1.proxy.aol.com,30,0,3,7,"GET/Access/HTTP/1.0",200,2376
www-c1.proxy.aol.com,30,0,3,14,"GET/Access/images/epaseal.gifHTTP/1.0",200,2624
port11.annex1.naples.net,30,0,3,45,"GET/cgi-bin/waisgate?port=210&ip_address=earth1&database_name=/usr1/comwais/indexes/HTDOCS&headline=Query%20Report%20for%20this%20Search&type=TEXT&docid=%02%1c%2fusr1%2fcomwais%2findexes%2fHTDOCS%03%150%200%20%2ftmp%2f08300107%2e5jx%07%01%00&seed_words_used=&byte_count=721HTTP/1.0",200,951
www-c1.proxy.aol.com,30,0,4,11,"GET/Access/chapter5/chapter5.htmlHTTP/1.0",200,5300
www-c1.proxy.aol.com,30,0,4,18,"GET/icons/epaseal.gifHTTP/1.0",200,2624
port11.annex1.naples.net,30,0,4,35,"GET/cgi-bin/waisgate?port=210&ip_address=earth1&database_name=/usr1/comwais/indexes/HTDOCS&headline=Information%20on%20database%3a%20HTDOCS&type=WSRC&docid=%02%1c%2fusr1%2fcomwais%2findexes%2fHTDOCS%03%2b0%200%20%2fusr1%2fcomwais%2findexes%2fHTDOCS%2fHTDOCS%2esrc%07%01%00&seed_words_used=&byte_count=360HTTP/1.0",200,949
port11.annex1.naples.net,30,0,4,54,"GET/docs/major.htmlHTTP/1.0",200,1685
port11.annex1.naples.net,30,0,4,56,"GET/logos/env_logo.gifHTTP/1.0",200,3837
port11.annex1.naples.net,30,0,4,56,"GET/docs/airs/ban-aira.gifHTTP/1.0",200,5019
port11.annex1.naples.net,30,0,4,56,"GET/docs/emap/gif/emapbl.gifHTTP/1.0",200,1767
port11.annex1.naples.net,30,0,5,0,"GET/gumpo/gif/neplogo_small.gifHTTP/1.0",200,4186
port11.annex1.naples.net,30,0,5,0,"GET/gumpo/gif/lil_gulflogo-color.gifHTTP/1.0",200,3554
port11.annex1.naples.net,30,0,5,0,"GET/logos/glreislogo.gifHTTP/1.0",200,3569
port11.annex1.naples.net,30,0,5,0,"GET/logos/glinlogosmall.gifHTTP/1.0",200,8109
ix-tf8-26.ix.netcom.com,30,0,5,3,"GET/HTTP/1.0",200,4889
port11.annex1.naples.net,30,0,5,7,"GET/logos/es_small.gifHTTP/1.0",200,1573
port11.annex1.naples.net,30,0,5,24,"GET/logos/nsdi.gifHTTP/1.0",200,29838
port11.annex1.naples.net,30,0,5,56,"GET/enviro/html/ef_home.htmlHTTP/1.0",200,4374
port11.annex1.naples.net,30,0,5,59,"GET/enviro/gif/pcs.gifHTTP/1.0",200,1236
port11.annex1.naples.net,30,0,5,59,"GET/enviro/gif/cerclis.gifHTTP/1.0",200,1063
port11.annex1.naples.net,30,0,6,0,"GET/enviro/gif/tris.gifHTTP/1.0",200,1075
port11.annex1.naples.net,30,0,6,3,"GET/enviro/gif/banner.gifHTTP/1.0",200,14887
port11.annex1.naples.net,30,0,6,4,"GET/enviro/gif/rcris.gifHTTP/1.0",200,1179
port11.annex1.naples.net,30,0,6,4,"GET/enviro/gif/finds.gifHTTP/1.0",200,1177
port11.annex1.naples.net,30,0,6,4,"GET/enviro/gif/emcilogo.gifHTTP/1.0",200,1330
port11.annex1.naples.net,30,0,6,7,"GET/enviro/gif/book.gifHTTP/1.0",200,1093
port11.annex1.naples.net,30,0,6,9,"GET/enviro/gif/access.gifHTTP/1.0",200,1214
port11.annex1.naples.net,30,0,6,9,"GET/enviro/gif/query.gifHTTP/1.0",200,1006
port11.annex1.naples.net,30,0,6,12,"GET/enviro/gif/mail.gifHTTP/1.0",200,959
suburbia.apana.org.au,30,0,6,39,"GET/docs/PressReleases/1995/August/Day-22/pr-422.htmlHTTP/1.0",200,1862
ix-tf8-26.ix.netcom.com,30,0,7,5,"GET/docs/CSO.htmlHTTP/1.0",200,3120
port11.annex1.naples.net,30,0,7,21,"GET/enviro/html/tris/tris_overview.htmlHTTP/1.0",200,2408
port11.annex1.naples.net,30,0,7,25,"GET/enviro/gif/blueball.gifHTTP/1.0",200,903
port11.annex1.naples.net,30,0,7,25,"GET/enviro/gif/efacts.gifHTTP/1.0",200,1367
port11.annex1.naples.net,30,0,7,50,"GET/enviro/html/tris/tris_query.htmlHTTP/1.0",200,1517
port11.annex1.naples.net,30,0,8,19,"POST/cgi-bin/dm4_trisHTTP/1.0",200,336
ix-tf8-26.ix.netcom.com,30,0,9,14,"GET/cgi-bin/phf?Jserver=www.epa.gov&Qname=MarkHTTP/1.0",200,82375
charlotte.anu.edu.au,30,0,9,23,"GET/icons/circle_logo_small.gifHTTP/1.0",200,2624
bos1d.delphi.com,30,0,11,10,"GET/HTTP/1.0",200,4889
ttyrf.tyrell.net,30,0,11,27,"GET/docs/SWRRB_WINDOWS/swrrb2.zipHTTP/1.0",200,434904
p33.denver1.dialup.csn.net,30,0,11,28,"GET/HTTP/1.0",200,4889
p33.denver1.dialup.csn.net,30,0,11,31,"GET/icons/circle_logo_small.gifHTTP/1.0",200,2624
p33.denver1.dialup.csn.net,30,0,11,35,"GET/logos/small_gopher.gifHTTP/1.0",200,935
p33.denver1.dialup.csn.net,30,0,11,36,"GET/logos/small_ftp.gifHTTP/1.0",200,124
p33.denver1.dialup.csn.net,30,0,11,37,"GET/icons/book.gifHTTP/1.0",200,156
p33.denver1.dialup.csn.net,30,0,11,40,"GET/logos/us-flag.gifHTTP/1.0",200,2788
p33.denver1.dialup.csn.net,30,0,11,41,"GET/icons/ok2-0.gifHTTP/1.0",200,231
p33.denver1.dialup.csn.net,30,0,12,26,"GET/docs/Internet.htmlHTTP/1.0",200,3217
bettong.client.uq.oz.au,30,0,14,30,"GET/cgi-bin/waisgate?port=210&ip_address=earth1&database_name=/usr1/comwais/indexes/HTDOCS&headline=%20EPA%20Other%20Environmental%20Servers%2e&type=HTML&docid=%01%0aearth1%3a210%02%1c%2fusr1%2fcomwais%2findexes%2fHTDOCS%03%2b0%20%2d2760%20%2fusr1%2fhttpd%2fhtdocs%2fEnvironment%2ehtml%04%0aearth1%3a210%05%1c%2fusr1%2fcomwais%2findexes%2fHTDOCS%06%2b0%20%2d2760%20%2fusr1%2fhttpd%2fhtdocs%2fEnvironment%2ehtml%07%01%00&seed_words_used=center+subsurface&byte_count=2760HTTP/1.0",200,2929
ix-mia5-17.ix.netcom.com,30,0,14,34,"GET/OWOW/images/OWOW_pics/map.gifHTTP/1.0",200,40960
bettong.client.uq.oz.au,30,0,14,39,"GET/icons/circle_logo_small.gifHTTP/1.0",200,2624
ttyrf.tyrell.net,30,0,17,5,"GET/docs/FreeSfwHTTP/1.0",302,0
ttyrf.tyrell.net,30,0,17,7,"GET/FreeSfw/HTTP/1.0",200,1050
cragateway.cra.com.au,30,0,17,22,"GET/HTTP/1.0",200,4889
ttyrf.tyrell.net,30,0,17,27,"GET/icons/epa.gifHTTP/1.0",200,457
cragateway.cra.com.au,30,0,17,32,"GET/icons/circle_logo_small.gifHTTP/1.0",200,2624
cragateway.cra.com.au,30,0,17,38,"GET/logos/small_gopher.gifHTTP/1.0",304,0
cragateway.cra.com.au,30,0,17,39,"GET/icons/book.gifHTTP/1.0",304,0
cragateway.cra.com.au,30,0,17,44,"GET/logos/small_ftp.gifHTTP/1.0",304,0
ttyrf.tyrell.net,30,0,17,46,"GET/docs/FreeSfw/description.htmlHTTP/1.0",200,656
cragateway.cra.com.au,30,0,17,56,"GET/logos/us-flag.gifHTTP/1.0",304,0
ttyrf.tyrell.net,30,0,18,15,"GET/docs/SWMM_WINDOWSHTTP/1.0",302,0
cragateway.cra.com.au,30,0,18,16,"GET/icons/ok2-0.gifHTTP/1.0",304,0
ttyrf.tyrell.net,30,0,18,17,"GET/SWMM_WINDOWS/HTTP/1.0",200,1045
bettong.client.uq.oz.au,30,0,18,19,"GET/cgi-bin/waisgate?port=210&ip_address=earth1&database_name=/usr1/comwais/indexes/HTDOCS&headline=Other%20Servers&type=HTML&docid=%01%0aearth1%3a210%02%1c%2fusr1%2fcomwais%2findexes%2fHTDOCS%0300%20%2d1421%20%2fusr1%2fhttpd%2fhtdocs%2fOWOW%2fsec15%2findex%2ehtml%04%0aearth1%3a210%05%1c%2fusr1%2fcomwais%2findexes%2fHTDOCS%0600%20%2d1421%20%2fusr1%2fhttpd%2fhtdocs%2fOWOW%2fsec15%2findex%2ehtml%07%01%00&seed_words_used=center+subsurface&byte_count=1421HTTP/1.0",200,1590
ebaca.icsi.net,30,0,19,26,"GET/volunteer/HTTP/1.0",200,4141
hmu4.cs.auckland.ac.nz,30,0,19,45,"GET/docs/GCDOAR/esb-home.htmlHTTP/1.0",200,7027
hmu4.cs.auckland.ac.nz,30,0,20,9,"GET/docs/GCDOAR/gifs/redball.gifHTTP/1.0",200,326
hmu4.cs.auckland.ac.nz,30,0,20,12,"GET/docs/GCDOAR/gifs/esb_stg.gifHTTP/1.0",200,10329
bettong.client.uq.oz.au,30,0,20,18,"GET/cgi-bin/waisgate?port=210&ip_address=earth1&database_name=/usr1/comwais/indexes/HTDOCS&headline=%20EPA%20Public%20Information%20Center%2e&type=HTML&docid=%01%0aearth1%3a210%02%1c%2fusr1%2fcomwais%2findexes%2fHTDOCS%03%220%20%2d375%20%2fusr1%2fhttpd%2fhtdocs%2fPIC%2ehtml%04%0aearth1%3a210%05%1c%2fusr1%2fcomwais%2findexes%2fHTDOCS%06%220%20%2d375%20%2fusr1%2fhttpd%2fhtdocs%2fPIC%2ehtml%07%01%00&seed_words_used=center+subsurface&byte_count=375HTTP/1.0",200,544
flaxman-q950.uoregon.edu,30,0,20,19,"GET/docs/oppe/large_epa.gifHTTP/1.0",200,647
flaxman-q950.uoregon.edu,30,0,20,19,"GET/docs/oppe/spatial.htmlHTTP/1.0",200,17756
flaxman-q950.uoregon.edu,30,0,20,19,"GET/docs/oppe/circle_logo_small.gifHTTP/1.0",200,1329
ttyrf.tyrell.net,30,0,20,20,"POST/cgi-bin/waisgate/134.67.99.11=earth1=210=/usr1/comwais/indexes/HTDOCS=gopher%40earth1=0.00=freeHTTP/1.0",200,28135
flaxman-q950.uoregon.edu,30,0,20,20,"GET/docs/oppe/oppe.gifHTTP/1.0",200,10752
flaxman-q950.uoregon.edu,30,0,20,25,"GET/docs/oppe/line.gifHTTP/1.0",200,2372
flaxman-q950.uoregon.edu,30,0,20,25,"GET/docs/oppe/new.gifHTTP/1.0",200,132
cragateway.cra.com.au,30,0,20,27,"GET/HTTP/1.0",304,0
bettong.client.uq.oz.au,30,0,20,32,"GET/images/epabar.gifHTTP/1.0",200,2290
cragateway.cra.com.au,30,0,20,36,"GET/icons/circle_logo_small.gifHTTP/1.0",304,0
cragateway.cra.com.au,30,0,20,36,"GET/logos/small_ftp.gifHTTP/1.0",304,0
cragateway.cra.com.au,30,0,20,36,"GET/icons/book.gifHTTP/1.0",304,0
cragateway.cra.com.au,30,0,20,39,"GET/logos/us-flag.gifHTTP/1.0",304,0
cragateway.cra.com.au,30,0,20,45,"GET/icons/ok2-0.gifHTTP/1.0",304,0
cragateway.cra.com.au,30,0,20,47,"GET/logos/small_gopher.gifHTTP/1.0",304,0
hmu4.cs.auckland.ac.nz,30,0,20,53,"GET/docs/GCDOAR/OAR-APPD.htmlHTTP/1.0",200,5694
suburbia.apana.org.au,30,0,21,1,"GET/docs/PressReleases/1995/August/Day-17HTTP/1.0",302,0
hmu4.cs.auckland.ac.nz,30,0,21,10,"GET/docs/GCDOAR/gifs/redbull.gifHTTP/1.0",200,1228
ttyrf.tyrell.net,30,0,21,28,"GET/waisicons/unknown.gifHTTP/1.0",200,83
hmu4.cs.auckland.ac.nz,30,0,21,29,"GET/docs/GCDOAR/gifs/blueball.gifHTTP/1.0",200,569
ttyrf.tyrell.net,30,0,21,29,"GET/waisicons/text.xbmHTTP/1.0",200,527
ebaca.icsi.net,30,0,21,30,"GET/index.htmlHTTP/1.0",200,4889
ebaca.icsi.net,30,0,21,37,"GET/icons/circle_logo_small.gifHTTP/1.0",200,2624
ebaca.icsi.net,30,0,21,43,"GET/logos/small_gopher.gifHTTP/1.0",200,935
hmu4.cs.auckland.ac.nz,30,0,21,45,"GET/HTTP/1.0",200,4889
ebaca.icsi.net,30,0,21,48,"GET/logos/small_ftp.gifHTTP/1.0",200,124
hmu4.cs.auckland.ac.nz,30,0,21,48,"GET/icons/circle_logo_small.gifHTTP/1.0",200,2624
hmu4.cs.auckland.ac.nz,30,0,21,49,"GET/logos/small_gopher.gifHTTP/1.0",200,935
hmu4.cs.auckland.ac.nz,30,0,21,50,"GET/logos/small_ftp.gifHTTP/1.0",200,124
hmu4.cs.auckland.ac.nz,30,0,21,50,"GET/icons/book.gifHTTP/1.0",200,156
ebaca.icsi.net,30,0,21,50,"GET/icons/book.gifHTTP/1.0",200,156
hmu4.cs.auckland.ac.nz,30,0,21,52,"GET/logos/us-flag.gifHTTP/1.0",200,2788
ebaca.icsi.net,30,0,21,53,"GET/logos/us-flag.gifHTTP/1.0",200,2788
hmu4.cs.auckland.ac.nz,30,0,21,58,"GET/icons/ok2-0.gifHTTP/1.0",200,231
hmu4.cs.auckland.ac.nz,30,0,21,59,"GET/Software.htmlHTTP/1.0",200,1497
ebaca.icsi.net,30,0,22,0,"GET/icons/ok2-0.gifHTTP/1.0",200,231
hmu4.cs.auckland.ac.nz,30,0,22,3,"GET/logos/env_logo.gifHTTP/1.0",200,3837
cragateway.cra.com.au,30,0,22,11,"GET/Standards.htmlHTTP/1.0",200,449
hmu4.cs.auckland.ac.nz,30,0,22,11,"GET/docs/GCDOAR/gifs/esb2_c.gifHTTP/1.0",200,14860
ebaca.icsi.net,30,0,22,20,"GET/Info.htmlHTTP/1.0",200,884
cragateway.cra.com.au,30,0,22,34,"GET/Standards.htmlHTTP/1.0",200,449
ebaca.icsi.net,30,0,22,36,"GET/docs/Procurement.htmlHTTP/1.0",200,1406
suburbia.apana.org.au,30,0,22,43,"GET/PressReleases/1995/August/Day-17/HTTP/1.0",200,619
ttyrf.tyrell.net,30,0,23,3,"GET/cgi-bin/waisgate?port=210&ip_address=earth1&database_name=/usr1/comwais/indexes/HTDOCS&headline=America%27s%20Water%20Resources&type=HTML&docid=%01%0aearth1%3a210%02%1c%2fusr1%2fcomwais%2findexes%2fHTDOCS%03%2f0%20%2d2046%20%2fusr1%2fhttpd%2fhtdocs%2fOWOW%2fsec1%2findex%2ehtml%04%0aearth1%3a210%05%1c%2fusr1%2fcomwais%2findexes%2fHTDOCS%06%2f0%20%2d2046%20%2fusr1%2fhttpd%2fhtdocs%2fOWOW%2fsec1%2findex%2ehtml%07%01%00&seed_words_used=nonpoint+pollution+source&byte_count=2046HTTP/1.0",200,2215
ebaca.icsi.net,30,0,23,5,"GET/Initiatives.htmlHTTP/1.0",200,2117
cragateway.cra.com.au,30,0,23,7,"GET/OSWRCRA/non-hw/muncpl/criteriaHTTP/1.0",302,0
ebaca.icsi.net,30,0,23,26,"GET/docs/TechInitiativeHTTP/1.0",302,0
ebaca.icsi.net,30,0,23,29,"GET/TechInitiative/HTTP/1.0",200,1994
ebaca.icsi.net,30,0,23,33,"GET/icons/circle_logo_small.gifHTTP/1.0",200,2624
ebaca.icsi.net,30,0,23,45,"GET/docs/CSIHTTP/1.0",302,0
ebaca.icsi.net,30,0,23,47,"GET/CSI/HTTP/1.0",200,493
ebaca.icsi.net,30,0,23,53,"GET/docs/CSI/CSIHTTP/1.0",302,0
ebaca.icsi.net,30,0,23,55,"GET/CSI/CSI/HTTP/1.0",200,801
ebaca.icsi.net,30,0,24,1,"GET/docs/CSI/CSI/backgroundHTTP/1.0",302,0
systems61.fisher.su.oz.au,30,0,24,3,"GET/HTTP/1.0",200,4889
ebaca.icsi.net,30,0,24,4,"GET/CSI/CSI/background/HTTP/1.0",200,871
